"STATECODE","STATE","QUARTER","TAX_THOUSAND","INCREASING_YN"
"AR","Arkansas",75,1915000,1
"AR","Arkansas",76,2128000,1
"AR","Arkansas",77,1644000,0
"AR","Arkansas",78,2267000,1
"AR","Arkansas",79,1942000,0
"AR","Arkansas",80,2241000,1
"AR","Arkansas",81,1681000,0
"AR","Arkansas",82,2417000,1
"AR","Arkansas",83,1984000,0
"AR","Arkansas",84,2283000,1
"AR","Arkansas",85,1753000,0
"AR","Arkansas",86,2563000,1
"AR","Arkansas",87,2123000,0
"AR","Arkansas",88,2408000,1
"AR","Arkansas",89,1839000,0
"AR","Arkansas",90,2547000,1
"AR","Arkansas",91,2166000,0
"AR","Arkansas",92,2508000,1
"AR","Arkansas",93,1888000,0
"AR","Arkansas",94,2629000,1
"AR","Arkansas",95,2197000,0
"AR","Arkansas",96,2490000,1
"AR","Arkansas",97,2066000,0
"AR","Arkansas",98,2678000,1
"AR","Arkansas",99,2182000,0
"AR","Arkansas",100,2550000,1
"AR","Arkansas",101,2009000,0
"AR","Arkansas",102,2785000,1
"AR","Arkansas",103,2250000,0
"AR","Arkansas",104,2591000,1
"AR","Arkansas",105,2101000,0
"AR","Arkansas",106,2868000,1
"AR","Arkansas",107,2386000,0
"AR","Arkansas",108,2673000,1
"AR","Arkansas",109,2130000,0
"AR","Arkansas",110,3068000,1
"AR","Arkansas",111,2403000,0
"AR","Arkansas",112,2830000,1
"AR","Arkansas",113,2236000,0
"AR","Arkansas",114,2805000,1
"AR","Arkansas",115,2720000,0
"AR","Arkansas",116,2906000,1
"AR","Arkansas",117,2427000,0
"AR","Arkansas",118,3678000,1
"AR","Arkansas",119,2813000,0
"CA","California",9,12445000,
"CA","California",10,13539000,1
"CA","California",11,12434000,0
"CA","California",12,11745000,0
"CA","California",13,13049000,1
"CA","California",14,15662000,1
"CA","California",15,13321000,0
"CA","California",16,13510000,1
"CA","California",17,13919000,1
"CA","California",18,17053000,1
"CA","California",19,14177000,0
"CA","California",20,14050000,0
"CA","California",21,15253000,1
"CA","California",22,17753000,1
"CA","California",23,15185000,0
"CA","California",24,15123000,0
"CA","California",25,16172000,1
"CA","California",26,21203000,1
"CA","California",27,16204000,0
"CA","California",28,16233000,1
"CA","California",29,16886000,1
"CA","California",30,22798000,1
"CA","California",31,17527000,0
"CA","California",32,18287000,1
"CA","California",33,20206000,1
"CA","California",34,28230000,1
"CA","California",35,20067000,0
"CA","California",36,19200000,0
"CA","California",37,22120000,1
"CA","California",38,29071000,1
"CA","California",39,18666000,0
"CA","California",40,17508000,0
"CA","California",41,18758000,1
"CA","California",42,22790000,1
"CA","California",43,18969000,0
"CA","California",44,18813000,0
"CA","California",45,18579000,0
"CA","California",46,22838000,1
"CA","California",47,21682000,0
"CA","California",48,18650000,0
"CA","California",49,20789000,1
"CA","California",50,24682000,1
"CA","California",51,22802000,0
"CA","California",52,22953000,1
"CA","California",53,23391000,1
"CA","California",54,35375000,1
"CA","California",55,25492000,0
"CA","California",56,24629000,0
"CA","California",57,26233000,1
"CA","California",58,37311000,1
"CA","California",59,27102000,0
"CA","California",60,25210000,0
"CA","California",61,26635000,1
"CA","California",62,38220000,1
"CA","California",63,26524000,0
"CA","California",64,26652000,1
"CA","California",65,26355000,0
"CA","California",66,39026000,1
"CA","California",67,26638000,0
"CA","California",68,23885000,0
"CA","California",69,22247000,0
"CA","California",70,33713000,1
"CA","California",71,24203000,0
"CA","California",72,23918000,0
"CA","California",73,25656000,1
"CA","California",74,33532000,1
"CA","California",75,26137000,0
"CA","California",76,28894000,1
"CA","California",77,28160000,0
"CA","California",78,36959000,1
"CA","California",79,25053000,0
"CA","California",80,25746000,1
"CA","California",81,26202000,1
"CA","California",82,35111000,1
"CA","California",83,26213000,0
"CA","California",84,29184000,1
"CA","California",85,34913000,1
"CA","California",86,44583000,1
"CA","California",87,28477000,0
"CA","California",88,30823000,1
"CA","California",89,32914000,1
"CA","California",90,44711000,1
"CA","California",91,30988000,0
"CA","California",92,34906000,1
"CA","California",93,35970000,1
"CA","California",94,51862000,1
"CA","California",95,33173000,0
"CA","California",96,37226000,1
"CA","California",97,37543000,1
"CA","California",98,49550000,1
"CA","California",99,33756000,0
"CA","California",100,36595000,1
"CA","California",101,39357000,1
"CA","California",102,51021000,1
"CA","California",103,36167000,0
"CA","California",104,42363000,1
"CA","California",105,43550000,1
"CA","California",106,57674000,1
"CA","California",107,40156000,0
"CA","California",108,37893000,0
"CA","California",109,47152000,1
"CA","California",110,63388000,1
"CA","California",111,44671000,0
"CA","California",112,41438000,0
"CA","California",113,49047000,1
"CA","California",114,34710000,0
"CA","California",115,65929000,1
"CA","California",116,49372000,0
"CA","California",117,57735000,1
"CA","California",118,81558000,1
"CA","California",119,54180000,0
"CO","Colorado",9,885000,
"CO","Colorado",10,1154000,1
"CO","Colorado",11,1057000,0
"CO","Colorado",12,1037000,0
"CO","Colorado",13,1044000,1
"CO","Colorado",14,1274000,1
"CO","Colorado",15,1164000,0
"CO","Colorado",16,1135000,0
"CO","Colorado",17,1105000,0
"CO","Colorado",18,1400000,1
"CO","Colorado",19,1250000,0
"CO","Colorado",20,1241000,0
"CO","Colorado",21,1181000,0
"CO","Colorado",22,1535000,1
"CO","Colorado",23,1477000,0
"CO","Colorado",24,1360000,0
"CO","Colorado",25,1279000,0
"CO","Colorado",26,1747000,1
"CO","Colorado",27,1533000,0
"CO","Colorado",28,1522000,0
"CO","Colorado",29,1469000,0
"CO","Colorado",30,2002000,1
"CO","Colorado",31,1612000,0
"CO","Colorado",32,1664000,1
"CO","Colorado",33,1615000,0
"CO","Colorado",34,2124000,1
"CO","Colorado",35,1806000,0
"CO","Colorado",36,1798000,0
"CO","Colorado",37,1740000,0
"CO","Colorado",38,2206000,1
"CO","Colorado",39,1724000,0
"CO","Colorado",40,1648000,0
"CO","Colorado",41,1589000,0
"CO","Colorado",42,1936000,1
"CO","Colorado",43,1671000,0
"CO","Colorado",44,1647000,0
"CO","Colorado",45,1486000,0
"CO","Colorado",46,1826000,1
"CO","Colorado",47,1750000,0
"CO","Colorado",48,1651000,0
"CO","Colorado",49,1590000,0
"CO","Colorado",50,2008000,1
"CO","Colorado",51,1855000,0
"CO","Colorado",52,1795000,0
"CO","Colorado",53,1679000,0
"CO","Colorado",54,2320000,1
"CO","Colorado",55,1990000,0
"CO","Colorado",56,1986000,0
"CO","Colorado",57,1864000,0
"CO","Colorado",58,2712000,1
"CO","Colorado",59,2170000,0
"CO","Colorado",60,2016000,0
"CO","Colorado",61,2013000,0
"CO","Colorado",62,2995000,1
"CO","Colorado",63,2273000,0
"CO","Colorado",64,2205000,0
"CO","Colorado",65,2033000,0
"CO","Colorado",66,3056000,1
"CO","Colorado",67,2342000,0
"CO","Colorado",68,2159000,0
"CO","Colorado",69,1828000,0
"CO","Colorado",70,2333000,1
"CO","Colorado",71,2058000,0
"CO","Colorado",72,2003000,0
"CO","Colorado",73,1818000,0
"CO","Colorado",74,2369000,1
"CO","Colorado",75,2180000,0
"CO","Colorado",76,2179000,0
"CO","Colorado",77,2179000,1
"CO","Colorado",78,2761000,1
"CO","Colorado",79,2453000,0
"CO","Colorado",80,2444000,0
"CO","Colorado",81,2291000,0
"CO","Colorado",82,3061000,1
"CO","Colorado",83,2639000,0
"CO","Colorado",84,2631000,0
"CO","Colorado",85,2492000,0
"CO","Colorado",86,3435000,1
"CO","Colorado",87,2774000,0
"CO","Colorado",88,2792000,1
"CO","Colorado",89,2708000,0
"CO","Colorado",90,3537000,1
"CO","Colorado",91,3045000,0
"CO","Colorado",92,3043000,0
"CO","Colorado",93,2908000,0
"CO","Colorado",94,3808000,1
"CO","Colorado",95,3150000,0
"CO","Colorado",96,3061000,0
"CO","Colorado",97,2910000,0
"CO","Colorado",98,3715000,1
"CO","Colorado",99,3166000,0
"CO","Colorado",100,3140000,0
"CO","Colorado",101,2943000,0
"CO","Colorado",102,3994000,1
"CO","Colorado",103,3405000,0
"CO","Colorado",104,3508000,1
"CO","Colorado",105,3525000,1
"CO","Colorado",106,4358000,1
"CO","Colorado",107,3772000,0
"CO","Colorado",108,3571000,0
"CO","Colorado",109,3317000,0
"CO","Colorado",110,4638000,1
"CO","Colorado",111,3875000,0
"CO","Colorado",112,3562000,0
"CO","Colorado",113,3476000,0
"CO","Colorado",114,3282000,0
"CO","Colorado",115,4979000,1
"CO","Colorado",116,3953000,0
